,sentiment,content,label,stop_words
1696,happiness,dreading going work friiiiiday whoop,7,4
1697,sadness,home im lonely,0,3
1698,worry,school absolutely sick want go home writing geography best,1,12
1699,worry,ok lil happier hope fixd email hope hacked although seemed really suspicious,1,7
1700,sadness,love baby hurt hurt want watch night ruxbury right,0,10
1701,neutral,need remember data customer ha entered previous page use back button many,3,9
1702,worry,frightened zombie going attack like scary movie,1,6
1703,worry,oops cy place near trouble,1,4
1704,surprise,blast mofo ing past nt must suck badly school,4,6
1705,neutral,excited people reservation morning damn lovin halo right sure,3,6
1706,worry,sad get see rica leaf later today,1,5
1707,worry,want ulead back wa awesome worked unfortunately pc,1,5
1708,neutral,way block follower idea sorry,3,8
1709,worry,internet income project ha got big problem today,1,1
1710,relief,want somebody love love think day dream constantly,5,8
1711,hate,exactly hate driving thru dandy sittin light next car asian callin amp held knife scum,2,10
1712,hate,thanks dude low level business man hard get normal credit card also place listed bank,2,8
1713,worry,doodle whats wrong,1,0
1715,neutral,really want go eisteddfod concert tonight would ok didnt wear dumb band uniform,3,8
1716,fun,walking work gloriously sunny day going good weekend burn always even suncream fb,4,8
1717,worry,morning panic clicked link opened browser firefox done saved tab gone learn,1,10
1718,worry,going school get spanish cd quot sigueee quot haha guess plan studying day,1,9
1719,sadness,early,0,2
1720,worry,weather ugh something like asthma yeah ventolin,1,3
1721,neutral,new video ipod delted could replace,3,8
1722,worry,need good idea fast,1,1
1723,surprise,wowza second tweet entire trip leave day first blow sf tomorrow night,4,8
1724,worry,seems phone dying boo,1,3
1725,sadness,computer killed combo mirror edge really poor win thermal management gpu one sad game,0,6
1726,surprise,wah wasted trip,4,2
1727,worry,weather make finger numb still waiting,1,2
1728,neutral,trying finish moving stuff tonight feel good,3,3
1729,hate,yes suck,2,3
1730,neutral,mudweight hauled last time,3,3
1731,sadness,bit zoe co bed soon miss gorgeous weather today x,0,13
1732,surprise,lot confusion work place,4,4
1733,sadness,tummy hurt go away cramp hate chuu,0,1
1734,worry,ach probably labeled mi believe wa name used aired bbc america,1,8
1735,happiness,wan na go dbsk oppa mirotic concert thailand really wan na go muchhhhh burst tear,7,5
1736,worry,need come another blog post today sleeeeeppyyyyyy,1,7
1737,fun,yeah wa like oh oh oh yeah said lol bummer,4,6
1738,neutral,month ahaha dunno go tomorrow lmao cause went today freakin filipino parent aha,3,3
1739,love,wish could find camera cause really wan na record,6,3
1740,happiness,quot might interested quot thanks came saw winced much like flatland,7,3
1741,worry,day administrative job,1,2
1743,worry,spring cleaning episode really,1,3
1744,worry,wa awake hour ago checked twitter,1,3
1745,worry,ahh right kidney hurt soooo bad ooommmmggggg,1,1
1746,enthusiasm,worked tonight work cheesecake ate today pple diet quit worth,4,12
1747,worry,blehckk cereal yuck doe taste sour,1,4
1748,sadness,lost voice torture,0,7
1749,worry,dive ocean deep dive vi sun colour dynamite fishing ha done toll reef,1,5
1750,sadness,pretty cold outside today got another exam,0,1
1751,worry,shen computer broke time get old ibm,1,4
1752,neutral,forecast sf friday may degree,3,2
1753,fun,haha father daugter bonding time lol anyways gg work get msn later bored x,4,6
1754,worry,hate washing hair ha dried amp straightened find grey hair middle layer hair,1,10
1755,worry,need change monitor,1,3
1756,surprise,genius put rug washing machine left folding door half open machine moved door wo close open shaking head,4,4
1757,neutral,month ahaha dunno go tomorrow lmao cause went today freakin filipino parent aha,3,3
1758,hate,fuck twitter,2,4
1759,neutral,excited ysj summer ball wish one,3,4
1760,love,love music much gone pain play side finger peeling blister playing much,6,13
1761,neutral,hi mel feel unhappy take bit fry overdo help,3,8
1762,sadness,shit none yea last weekend wa crazy think partied hard thats im sic,0,3
1764,neutral,think choco diet worse cuz every time ur hungry ur allowed eat tiiiny piece chocolate,3,7
1765,neutral,rain plain cloudy know,3,7
1766,neutral,make mind,3,2
1767,sadness,im sad missed family reunion,0,4
1768,worry,aww,1,2
1769,worry,envious people long distance relationship mushy one cuddle,1,9
1770,worry,omg prison break final break two episode aired uk wow watch soo sad tear,1,8
1771,worry,muay thai wa awesome gon na sore morning feel like bad eating junk tho,1,6
1772,love,talk buttershots ha wanting maybe small bit ice since faire,6,10
1773,hate,way exam nervous bah,2,3
1774,worry,happy wake call morning going grumpy later,1,8
1775,love,want zune looove pod hahah,6,2
1776,surprise,nightshift still working luckily fun turn music one else office yay,4,11
1777,worry,racoon ate bread,1,2
1778,sadness,missed everyone tonight,0,0
1780,sadness,ugh two week push produce six pack ha produced nothing pain,0,3
1781,love,standing open hand know ca alone hold hold baby hold geeez,6,5
1782,hate,tryna find yr old junt stable job good home extra room baggage tired young dude,2,9
1783,neutral,naisee bad see lens flare arond listening xd cant really catch saying tho,3,10
1784,neutral,may try prism,3,0
1785,hate,dang internet night,2,5
1786,neutral,get good download speed one else using connection,3,5
1787,worry,yikes ant everywhere house ant scare,1,4
1788,hate,launched twittix convinced,2,2
1789,neutral,food food food,3,0
1790,neutral,,3,2
1791,relief,consolation got bmi tested hahaha say obesed well much unhappy minute,5,10
1792,sadness,ooh feel sleepy dont wan na go school day,0,6
1793,sadness,thx girl woke cnt believe sick fever wish could pound nyquil suck,0,6
1794,neutral,hitting dock soon,3,1
1795,worry,im tired ca sleep,1,5
1796,sadness,already none left back cabbage soup,0,2
1797,sadness,wrong button music biz building,0,3
1798,worry,penis hope made sure okay,1,3
1799,neutral,much sand sd pismo weekend another canon powershot broken nd one year buy time,3,7
1800,sadness,flu swinish one flu,0,4
1801,sadness,really annoyed work appear blocked facebook,0,4
1802,worry,yeah noticed miss spender closer holding,1,9
1803,worry,looking sunshine office window,1,5
1804,hate,im gon na die heart attack one day keep going bed pissed ggggggg niteeeeeeee,2,6
1805,worry,miss,1,1
1806,worry,lonely need hug,1,2
1807,hate,freaking cold sydney tonight,2,5
1808,sadness,friday well technically anyway really thursday dang work saturday morning,0,6
1809,sadness,min bej semanggi traffic friday siggghh,0,3
1810,worry,trying get sleep migraine getting way,1,6
1811,neutral,mean jorx,3,3
1812,worry,get ready tom got ta go make sure done anything stupid ill tweet later,1,5
1813,hate,woke bad dream grrrr,2,2
1814,neutral,maybe listen dude like three morning time,3,9
1815,worry,course happens day got carwash,1,5
1816,fun,lol know get read sometimes though co dad always chuck get home,4,7
1817,hate,city person want trade live country house come racoon skunk livin deck sigh,2,5
1818,neutral,used remote tv,3,5
1819,worry,anticipating tough day ahead,1,0
1820,neutral,mine,3,1
1821,neutral,tired,3,1
1822,worry,poor lmao stick head window,1,5
1823,worry,grrr ca fall asleep,1,1
1824,worry,head hurt,1,1
1825,worry,managed stab piece bhuja hot course roof mouth blood everywhere well least mouth,1,9
1826,worry,jealous family amazing breakfast get rice crispies,1,8
1827,worry,ca believe,1,2
1828,sadness,taking soul friend family watching die nightmare trust,0,7
1829,worry,ugg unpacking suck,1,0
1830,neutral,think coast capital sent work number telemarketers,3,2
1831,worry,aww haha want one ca get one coz dun number,1,3
1832,hate,hate computer screw decides play sound video,2,9
1833,neutral,hey whore kinda mean dont yu think,3,2
1834,worry,really want go old friend party tonight fakeflu alcohol probably wo mix well,1,6
1835,love,hope great friend california miss,6,5
1836,neutral,wow christian lacroix bankrupt sad,3,0
1837,neutral,brownie sundae five dumpster blood bros itunes palm reader wa closed fun anyway,3,4
1838,surprise,yeah mine said quot nice picture quot amp gave red hope get working soon,4,5
1839,worry,got messgae didnt work cause text saver like money credit im sad wat xoxo,1,6
1840,neutral,much learn,3,3
1841,sadness,missin bro,0,1
1843,surprise,kidney stone really ugh,4,0
1844,neutral,friend coming see nyc im stupid vaca stupid cayman island cnt go iloveyou lt,3,9
1845,neutral,fell asleep techno song shuffle loud hour im lazy go turn ha like,3,9
1846,sadness,youtube account,0,3
1847,worry,im back index problem,1,3
1848,happiness,haha wish could,7,0
1849,neutral,also spoke lt ï ½tearï ½,3,3
1850,surprise,ur lol,4,4
1851,sadness,still sick home,0,0
1852,sadness,feeling great today,0,2
1853,worry,place called ut take somebody,1,10
1854,happiness,warwick castle amazing devon week internet update,7,4
1855,sadness,hate feeling get listen song completely reminds thing used amp get emotional,0,10
1856,worry,want ride bicycle today cold cloudy today,1,7
1857,boredom,last chemistry lesson school year brighter note birthday sandwiched two day chemistry lab,3,8
1858,enthusiasm,wan na drinking pub,4,3
1859,sadness,ever come across something reminds alot one person completely broke heart cause,0,7
1860,neutral,sitting waiting exam start,3,3
1861,neutral,hungry agaaaaaaiiiin maaaam,3,1
1862,worry,already nooooooo,1,1
1864,sadness,ria got phone im jealous,0,2
1865,enthusiasm,early morning first portmeirion home,4,4
1866,fun,somebody actually told lol,4,2
1867,worry,golf ball sized swelling ankle turned black blue,1,5
1868,sadness,party wiped dead stuff,0,7
1869,worry,still called back regarding groundbreaking production sent earlier,1,6
1870,sadness,better today yesterday wa really hard still unbelievable miss probably always,0,8
1871,worry,hve follower,1,2
1872,neutral,morning folk light tweeting today hurrah crowd co busy friday inside sunshine,3,5
1873,surprise,ugh frustrating see brief week group mostly traditional agency,4,5
1874,neutral,oh dear traveller moved onto land near house always leave bloody mess council take year clean,3,6
1875,neutral,ca pet appartment really want rat yet,3,7
1876,neutral,going work soon,3,1
1877,surprise,oh see mean tht heltershelter person lol yer look scary,4,1
1878,worry,sleep wake soooo early,1,6
1879,neutral,hot today must weekday,3,4
1880,neutral,n work,3,2
1881,neutral,going see le mi tonight myonlysanction ugh jealous aw im sucker musical,3,5
1882,happiness,good morning people good old germany soooo cold,7,3
1883,worry,p dead like wa awsome loved show missed last episode tho,1,3
1884,happiness,wa like tha dj comp wa hella wack gud dj got free gud,7,7
1885,worry,wrong,1,1
1886,relief,fed three hungry stray kitty three tuna hope stay warm safe tonight,5,6
1887,worry,internet blackberry fooked checking tweet whether phill ha taken request,1,8
1888,neutral,got ta sleep work,3,4
1889,sadness,lonely need company,0,3
1890,neutral,listens msi bakes banana bread weird remarkably much anymore,3,7
1891,relief,finally gotten online logging km last two day errand family driver,5,6
1892,surprise,wtf advertising gone mad want access camera microphone amazon really know better,4,7
1893,surprise,hate website say ticket price another website,4,9
1894,surprise,alice know wear cinema lt,4,4
1895,worry,wondering cold skylight open left gas morning,1,7
1896,worry,home form school long weekend ppl would happy im im still mad sad,1,8
1897,worry,ca go sleep tech support email back,1,4
1898,worry,n know folk sorry,1,4
1899,surprise,n think going get see sun today gutted need colour,4,7
1900,worry,youtube tube appear clogging somewhat today connection error plenty,1,3
1901,sadness,tara thai time friend birthday food wa pretty bad,0,8
1902,worry,hmm grows case screwed ca even keep quot easy care quot love fern alive,1,4
1903,surprise,wow must tired fell asleep exactly start pm news amp,4,9
1905,sadness,hate continually getting sick whenever ha exam,0,1
1906,neutral,missd otha wa disney day yesterday,3,6
1907,neutral,wan na go vivid light walk,3,1
1908,sadness,want ride bicycle today cold cloudy today,0,7
1909,worry,song come goodbye stuck head good song singing considering situation,1,9
1910,worry,went green yesterday wa missed get another certificate,1,6
1911,neutral,weird really want harry potter bed spread pillow wish could find one gryffindor,3,5
1912,worry,heading hospital sort back looking forward,1,6
1913,love,im gon na go bed alone sad day itll get better,6,5
1914,worry,ready productive friday one last year,1,4
1915,neutral,im hella pushin wa tha graduation sorry couldnt smash thru,3,3
1916,worry,sick amp tired sick amp tired,1,3
1917,neutral,,3,5
1918,neutral,wish ha private jet go see bff time like ok ok ot really thinking carbon footprint,3,8
1919,neutral,seized bolt ya still stuck bushing actually seized bolt lame perhaps heat work,3,8
1920,sadness,stupid weather,0,0
1921,worry,found one ankle swollen eeks hurt,1,7
1922,surprise,omg sister got brother quot jonas brother quot look like trenchcoat like jonas style told shutup like,4,7
1924,worry,worst dream ever lakers losing zip amp courney cox mohawk wtf,1,4
1925,sadness,cant girl like whats walet,0,10
1926,worry,put camera smoker pit longer vandalize door without caught,1,8
1927,worry,totally broke right wait till monday get paid though boohoo,1,3
1928,enthusiasm,getting ready work sun shining plus w bgt tonight gon na finished,4,9
1929,worry,true know bothered morning co put pony soon got work anyways,1,10
1930,worry,lol got ac right know getting chill gona rain tmr,1,3
1931,worry,looking forward dress shopping tomorrow afraid way able get want,1,8
1932,relief,cape town wa spitting morning im behind desk sun come perfect timing,5,6
1933,worry,cant dont mm waer nexxt time see,1,5
1934,neutral,link need go laptop sigh,3,3
1935,sadness,good morning beautiful today shame going spend day unpaid taxi driver,0,9
1936,relief,ahh feel good played guitar hero month suck haha,5,7
1937,worry,got twitter friend add none friend twitter,1,8
1938,sadness,thx old computer slow kubuntu blender really,0,5
1939,worry,awww still going look though,1,7
1940,worry,vmware fusion seems getting slower slower,1,1
1941,neutral,year,3,1
1942,hate,waiting driver hate wait,2,3
1943,sadness,telstra biggest teleco greedy need fast internet download cap,0,11
1944,worry,gudafternoon twitter follower hey giving chance help get gud placement still maintaining jobless profile,1,3
1945,sadness,missed last night hon,0,1
1946,worry,man like nj class worry,1,7
1947,neutral,know time could look web page source code figure worked take lot effort,3,9
1948,happiness,wish would call hc,7,2
1949,neutral,laying bed wishing could meet kellan lutz haha im nerd dream,3,3
1950,love,love hug seeing anything wondering something wrong,6,6
1951,sadness,shuck sorry sometimes get wrapped fb forget check doin,0,6
1952,surprise,going bed weird st time long time call say goodnight ima lil curious,4,8
1953,worry,caaaaa sleep wahhhh wan na cry,1,2
1954,sadness,apparently misplaced ipod gb,0,3
1955,enthusiasm,fantastic idea man end lonely tourist go home,4,7
1956,sadness,disappointed gon na sleep,0,7
1957,worry,also lonely night wishing could go audun n bad dream,1,9
1958,hate,central lesson history state parasite always expand destroy host population stefan molyneux,2,9
1959,neutral,leave th back th th,3,2
1960,hate,aww suck,2,1
1961,sadness,foodshopping cause wa sick day wa hospital alone blow,0,4
1962,worry,wondering money earnt financial year ha gone account like grand wheres rest,1,7
1963,neutral,forgot fan haha,3,3
1964,surprise,le hour till show oh lee broke guitar practice,4,5
1965,sadness,go sleeeeeeepz,0,2
1966,worry,dont wtf whatthefuck really really trying kill might depends,1,8
1967,worry,lost fight tweefight lost please revenge try,1,6
1968,sadness,seriously heartbroken,0,1
1969,hate,nick voice still make wan na kill thing,2,1
1970,worry,ever come sf bay area preform feel left,1,4
1971,worry,oh think didnt well photo editing db sorry,1,4
1972,worry,aww sad stupid crapped phone deciding would go screw never work arghhh,1,7
1973,worry,start work moro looking forward,1,4
1974,sadness,lonely time,0,3
1975,love,still track move back albeit year however buddy jen moving fast track,6,10
1976,neutral,wear damn jacket today co didnt notice mark shirt,3,6
1977,worry,god weather london ammmmazing yet train half day,1,5
1978,love,ok shed tear watching preview next week medium scared addicted show love,6,9
1979,neutral,ask ryan stopped following twitter,3,6
1980,surprise,friday keep reminding since every day seems,4,7
1981,worry,going see angel demon tonight better scare,1,5
1982,neutral,going bed sleep right,3,7
1983,worry,horrible nightmare gon na go back sleep,1,3
1984,sadness,suffering internet work bad site hosted russian server available,0,9
1985,surprise,want go singapore mother seems,4,5
1986,worry,trying hard worry peace despite circumstance wonder christian one making hard,1,14
1987,worry,wish chicken wing,1,3
1988,happiness,life beautiful morning think better way ruin work,7,11
1989,worry,selling jaffa race ticket friend heartless wont even buy one,1,4
1990,worry,feel like alott drug,1,3
1991,worry,asks someone pa load kahit peso lang,1,3
1992,worry,ahhh fusterated,1,0
1993,anger,yes boo soar throat earache,2,2
1994,worry,think hire one tranlsators one ever understands,1,7
1996,neutral,desperate go venice beinnale,3,3
1997,neutral,sleep work tomorrow,3,0
1998,sadness,ouch epic bruise toe lump ankle bad time,0,5
1999,neutral,got greatscores exam yeaps,3,4
2000,sadness,epic ocd moment deleted sims file spent hour building set favorite food wrong,0,5
2001,worry,ugly programme open,1,4
2002,surprise,owww aching alll,4,2
2003,worry,massive headache argh,1,0
2004,worry,hard settle name,1,4
2005,surprise,yay friday hold work tomorrow,4,4
2006,relief,oopsie origami box made look like strawberry allowed teach,5,5
2007,sadness,heading home could really done without banging head way bus,0,5
2008,worry,awww sad sawwy,1,3
2009,sadness,also hit chin something fell hurt ugh work gon na suck,0,7
2010,worry,feel sorry every time printing use like new paper,1,2
2011,sadness,uni work weekend fun time,0,2
2012,sadness,blech thats fail receiving dollar quoted job usd last month getting paid major loss,0,5
2013,sadness,tmz harvey levin type tmz find people,0,2
2014,sadness,first time going home early suck single one call,0,3
2015,happiness,wish nicky home,7,3
2016,hate,fault didnt make leave,2,2
2017,surprise,umm let change background im twitter challenged,4,6
2018,love,really want marry leighton meester damn take eye,6,7
2019,worry,say reeesee cup,1,2
2020,worry,ill bed stomach killing,1,4
2021,happiness,hmm osaka last show today sad decode ur msg haha cant wait till get sydney missed ticket tho xx,7,5
2022,sadness,guy coming back tour oz missed earlier year made sad,0,10
2023,worry,bummer know lol actually partying school school think somehow help hahaha,1,11
2024,worry,housemate saw angel amp demon last night left home wa looking forward seeing wanted reminise,1,5
2025,neutral,n going chicago,3,5
2026,worry,starting get cold,1,3
2027,worry,gawd people still remember preggers comment hate,1,2
2028,neutral,think finally reached point life need nasal hair trimmer,3,5
2029,sadness,hmm disappointed made serving able enjoy one stomach full wishing company help,0,10
2030,worry,ugh doin good,1,3
2031,worry,whyyy still awake work good,1,8
2032,worry,really think wee callum got last night,1,3
2033,sadness,taking foreverrr get im bored,0,4
2034,worry,hair cut today boyfriend notice,1,5
2035,neutral,ew tongue kiss,3,0
2036,neutral,wall jericho please come worcester asap candace pleeaassee flee seen call quits whyyy,3,6
2037,hate,pretty sure isi ha tapeworm allowed snuggle want tonight,2,7
2038,neutral,still working,3,1
2039,worry,feel like getting,1,3
2040,sadness,cold,0,2
2041,worry,gone day wen used sit exam exam class bunking fun,1,5
2042,worry,im tired ca sleep try,1,5
2043,love,marrrrrrrrrry lt fun partying tonight drink wa wud come see,6,9
2044,sadness,waste life,0,2
2045,sadness,know man day pulling bed,0,7
2046,hate,got sore foot,2,1
2047,worry,uff ble litt trist av ï ½ lese den siste tweetsen din challenge prooved tough,1,3
2048,worry,cant find itouch billionth time need sleep,1,6
2049,sadness,yi ryke,0,1
2050,worry,back amp nice doctor diagnosed ligament damage felt could still run might take day heal,1,10
2051,sadness,havin stupid stomach pain amp today outing sph frenz amp stomach nvr fails dissappoint haiz,0,8
2052,love,awwww thanks follwin thou lol,6,2
2053,surprise,dude even say bye,4,2
2054,sadness,impossible,0,2
2055,neutral,sometimes spam leak message board,3,3
2056,neutral,yeh suppose know henry really gunner,3,11
2057,worry,son th birthday weekend taking mexican meal major game buying spree miss lego day,1,6
2058,surprise,oops completely forgot,4,0
2059,worry,shorry bebeh okeh ada one chance,1,2
2060,sadness,boo season finale,0,3
2061,worry,certain tweet write spot message person group pornstar tweet usually get deleted within hour,1,7
2062,worry,cavs got lucky night lol lebron took killed em another triple double,1,3
2063,sadness,nothing sad actually,0,1
2064,love,using brother phone love driving vega phone died morning charger broke,6,5
2065,happiness,huhuhu still working get new client motion graphic,7,2
2066,worry,rain rain go away,1,0
2067,surprise,wa tallented man fitting wish wa closer see,4,6
2068,worry,fucking typical gh arrives leave work going long day,1,7
2069,fun,constantly listening song fly c cutest song quot peter pan amp wendy turned fine quot,4,7
2070,sadness,glad sad iphone badoptus,0,5
2071,worry,bout knock feelin lil sick peace,1,2
2072,neutral,need pa exam,3,2
2073,worry,got home walking dog humid kaneohe ac home ceiling fan work,1,7
2074,worry,noooo miss much went stag prom high school middle school dance help gt _ gt,1,10
2075,hate,fucksake smoke much stuff,2,2
2076,neutral,every element dom child single parent,3,4
2077,sadness,like friend hurt love friend feeling arent trying sleep ha really try give,0,9
2078,love,slept day lol time start un article fun,6,6
2079,neutral,july issue oxm anything link right,3,11
2080,neutral,give easily,3,3
2081,worry,n friend ever miss year old pervs like ca shape shifter,1,7
2082,worry,entered house searching mode yesterday need find apartment dï ½sseldorf end august one wa temporary,1,8
2083,sadness,wa creepy first really grow like cried like baby tosh died,0,10
2084,fun,lol yeah haha yeah thing okay pretty much slowly sorting everything lol exam coming haha,4,5
2085,love,hey chocolate chip good want snack snack,6,6
2086,worry,hubby dentist ready hold hand getting nervy potentially buying car tomorrow,1,7
2087,happiness,doe googledocs folder instead label like gmail kind like label,7,3
2088,hate,damn tired another long day trw,2,1
2089,hate,woke starving,2,3
2090,neutral,need present mom could anybody help,3,4
2091,sadness,going post office try sort whole ebay hacker thing,0,5
2093,surprise,devastated set alarm forgot turn alarm got showered thinking wa full fool,4,9
2094,neutral,guess happened butt yesterday yes anna finger came visit said nothing,3,7
2095,worry,something wrong layout abduzzeedo site look good today anyone,1,2
2096,happiness,yeah wa good erm entertainment,7,2
2097,worry,getting funny feeling usually indicates sick great,1,2
2098,sadness,bacon fail gulb lack chef,0,2
2099,worry,got another long day paper project tomorrow time one project shaving like mths lol man leg eww,1,8
2100,worry,yeah gon na rubbish,1,2
2101,sadness,get hate tweet sasd,0,3
2102,neutral,akhrnya hill nggi nya macet himym cm ada season pdhl gw nyari seasonnya,3,1
2103,sadness,suprisingly okay possibly still drunk goodbye suck though,0,2
2104,worry,checked bank balance spend like millionaire despite fact nowhere near rich one,1,5
2105,worry,wow away quot expecting quot wife going india thats gon na suck since made dependent,1,13
2106,sadness,wan na go,0,2
2107,sadness,overwhelming finally catching cousin bff since wa three seen year ah memory miss,0,10
2108,worry,missing man two month long see,1,6
2109,neutral,surgery wake,3,2
2110,sadness,sf felt way intense tonight hope keep upset hanging pearl,0,10
2111,worry,read disclaimer close browser,1,5
2112,worry,chilly lonley livingroom,1,2
2113,sadness,sorry hear lost two hard drive year know feeling,0,5
2114,sadness,many farewell party sad see people leaving,0,2
2115,enthusiasm,making jealous want one long guy married,4,6
2116,fun,last day metro magazine ta ta dream job p june issue czech,4,7
2117,worry,memphis ca catch break day poor tiger,1,3
2118,neutral,closing sale doe look good,3,5
2119,sadness,sleepy feeling weather ugh damn tonsil need company somebody talk,0,10
2120,worry,word counting hand hurt,1,2
2121,happiness,would totally take prom hadnt already gone sorry lol,7,3
2122,worry,miss doctor regular series,1,3
2123,worry,jeez little one seriously constipated know anymore anyone tip terrible seeing serious pain,1,7
2124,sadness,im ho didnt go tigerheat tonite,0,4
2125,happiness,come hang wif meeee,7,1
2126,worry,yes otherdad wait go back sleep cause mischief,1,3
2127,happiness,hmmm thinking taking back feel better morning think spoke early,7,4
2128,sadness,macabre hard believe dropped real nuclear weapon real japanese human warisfucked,0,8
2129,worry,inshalla devo wont astor tonight,1,3
2130,sadness,wish bummed kinda,0,4
2131,sadness,yup unfortunately took today work slept day,0,4
2132,worry,itunes upgrade reset playcount zero know one hasta siempre version liked best,1,5
2133,sadness,feeling bored miss school time,0,2
2134,worry,watched notebook last night wahhhhhhh good cried eye maybe bit close home think go watch,1,5
2135,anger,stomach explode wendys everything taste good bad,2,9
2136,neutral,go father house question domestic food people around bed tv world dont know,3,9
2137,worry,hug worst mine used really bad first day sometimes ca even get bed,1,8
2138,neutral,one last night available dvd blue ray digital download via itunes store end week,3,9
2139,neutral,havent heard anything show hasnt saturday night occasional sunday rerun,3,9
2140,worry,aww cant wait till get sydney missed ticket tho xxx,1,4
2141,worry,imissu come back home honey,1,1
2142,surprise,falling asleep waking gun shot arent fun,4,2
2143,worry,concerned family,1,3
2144,hate,never forgive burying erotica snuffing love,2,6
2145,hate,fix bike chain way work arrived filthy bloody mess lovely weather though,2,4
2146,neutral,seen knocked top spot wefollow perth,3,6
2147,sadness,sux mayb btr nvr know,0,3
2148,neutral,came back germany yesterday five day uk,3,6
2149,sadness,cant sleeeeep amp miss long hairrr,0,1
2150,neutral,really want see quot quot,3,2
2151,sadness,mom ok far missing jaron,0,3
2152,fun,nuhhhh info ticketek yet heap excited though dont care much hope much,4,7
2153,worry,called toyota car wo ready til,1,2
2154,love,im finally going home didnt get finish work ill back tomorrow,6,6
2155,worry,oh dear fun,1,1
2156,worry,ca sleep watching hgtv afraid infomercial take,1,6
2157,neutral,twitter attention whore meet new haircut old one refused cut fringe,3,10
2158,sadness,ha awful hiccup today ca fall asleep,0,6
2159,happiness,know wish would wan na cuddle sleeep ga go world coke,7,7
2160,neutral,guess smoking tonight,3,3
2161,sadness,use twitter quit life,0,0
2162,worry,hey site wa going listen web stream ca get site,1,6
2163,neutral,oh cr placebo tix torus amos go sale anticipating hot cake distribution,3,5
2164,relief,happy belated birthday billy forgot say bday feel aweful,5,4
2165,love,haha yeah know yeah thing okay pretty much slowly sorting thing exam coming haha,6,6
2166,sadness,listing old jb music going bck amp lt miss tht,0,1
2167,hate,want move qld already cold weather killing,2,4
2168,sadness,woke amp ca go back sleep txt bff sayin call sound important wa hour ago,0,11
2169,neutral,project car,3,1
2170,neutral,playing bejewled facebook damn want higherscore,3,2
2171,neutral,starting wonder going get job came across though find work elsewhere need must intentionally,3,6
2172,sadness,truss failing,0,1
2173,worry,guess im stuck lobby,1,3
2174,worry,day rperss youuuuuuu,1,2
2175,hate,stuck huge traffic jam,2,1
2176,worry,porridge taste shit cba today man,1,2
2177,worry,sell car costing much afford one rollerskate bye bye petey,1,8
2178,neutral,lovely morning cycle work met degree office,3,3
2179,sadness,trending topic twitter used useful like middle schoolers passing around note cause class boring,0,6
2180,hate,hate typing mac wishing done english essay soon sleeeepy,2,5
2181,fun,want get hand dirty fubumvc document yet complete,4,7
2182,neutral,going work,3,2
2183,worry,seriously getting hurt day national joke,1,2
2184,sadness,cereal doesnt come toy anymore jus thinkin wa buyin wrong kind say aint mo,0,5
2186,sadness,mosquito truck waking,0,5
2187,worry,haha okay talking middle college grad think got worried,1,4
2188,worry,hate tossing turning ca fall asleep,1,4
2189,sadness,another boring meeting attend,0,1
2190,happiness,nooo hey back next week moving back good,7,4
2191,enthusiasm,ca tell thrilled nosebleed first time age overjoyed cover urgh,4,10
2192,worry,ca seem sleep tonight need get le hour,1,5
2193,hate,bah waking,2,1
2194,enthusiasm,guy call come something def give call tomorrow hang chick,4,9
2195,happiness,yeah also paper one final left algebra amp take birthday june,7,9
2196,hate,hate working especially weather good,2,4
2197,sadness,damn missed blogtv hope wa funsies,0,1
2198,neutral,train forgot charger mean whoshere today till get home haha still tweet guy xxx,3,10
2199,sadness,torn get extended warranty iphone mine run jailbreak already got problem battery amp earpiece,0,9
2200,worry,yeh still weekend get weekend anyways today full last day vacation time,1,6
2201,surprise,back work much email inbox,4,4
2202,sadness,friday night fav night week go stupid dog training class,0,8
2203,sadness,hello bella going delete account,0,4
2204,worry,think go everything thought olympic spirit team gb wa,1,4
2205,worry,audition good iam super nervous one virtue,1,6
2206,neutral,nothing,3,0
2207,sadness,suck going summer school need catch several unit,0,7
2208,worry,going revise physic,1,2
2209,hate,ever stepped slug accident hate bug,2,6
2210,sadness,damn got turn alarm woke,0,6
2211,sadness,miss cary want drink chocolate milk,0,6
2212,neutral,n ask hoping today improvment rest week looking forward weekend weather,3,9
2213,relief,ca stay home mom already,5,3
2214,relief,sux took like minute going sleep finally,5,3
2215,neutral,day recover ligament damage give day train k,3,8
2216,worry,lost please help find good home,1,2
2217,neutral,degree would dream boise still,3,3
2218,happiness,saw hamlet update excellent news never good live though,7,5
2219,sadness,im ill hate seeing doc,0,4
2220,worry,want get hand dirty fubumvc documentation yet complete,1,7
2221,hate,shit week fucking week gym worst headache,2,6
2222,surprise,oh men mood go home tomorrow wan na family birthday,4,7
2223,sadness,thats crazy part wa reason include quot full schedule quot amp quot travelling daughter quot cool,0,7
2224,happiness,ca work twitter phone bed thinking funny stuff last night good time,7,8
2225,neutral,feel like one gym machine work rather,3,9
2226,hate,eye streaming hate hayfever bad even tablet working,2,4
2227,surprise,really smoke,4,2
2228,worry,omfg alright,1,2
2229,worry,omg sorry worst employee ever hard drive failed taking survey data,1,7
2230,worry,bored school throat swollen,1,5
2231,sadness,approaching weekend quite quickly much work left,0,6
2232,fun,yay thank feel like ur yelling lol,4,2
2233,worry,nasty cold cagayan de oro,1,3
2234,sadness,im sad im giving first didnt nothing,0,6
