,text,label,stop_words
2335,feel dazed alone end,5,6
2336,hate feeling despised detested someone truly care completely love,3,6
2337,remember someone could feel comfortable around,1,6
2338,feel discouraged,0,2
2339,thought feel scared somewhat trepidatious nervous sad,4,4
2340,im feeling shy im feeling mad im feeling sad,4,0
2341,feeling insulted idiocy felt supremely bored actually wound fastforwarding scene,3,10
2342,feel blessed free,2,6
2343,feel determined ever,1,6
2344,must ask column make feel hateful keep logging,3,8
2345,empowering woman truly feel intelligent sex enough,1,12
2346,dislike feeling needy,0,1
2347,im thinking back feeling utterly amazed grateful live time four people needed family could find despite thousand mile apart,5,12
2348,feel unhappy even,0,4
2349,feel like rushed weekend,3,4
2350,feel like punished year weaning drama,0,9
2351,feel impressed ia,5,3
2352,know feel like love starting get scared actually love,4,12
2353,need money cause owe sooooo many people money cant pay back without feeling guilty taking money dad,0,5
2354,simply feel like learning unimportant stuff,0,4
2355,feel like alone,0,3
2356,help feeling jealous,3,3
2357,im feeling bit gloomy today weather ive got money get tube go anywhere pretty like columbia road,0,8
2358,im also feeling gorgeous nail day coming concoction three ive soaked pale bod fake browne watch coming soon,1,15
2359,could feel tremor coming started get real shaky,4,5
2360,resent people shaming telling feel productive alternative give fact let think,1,10
2361,feeling pretty triumphant held little conversation cashier realize deaf,1,10
2362,im feeling rotten talking,0,3
2363,mention one feel fake,0,4
2364,could feel love joy pride looked two sweet little face,2,6
2365,feel bit annoyed antsy good way,3,4
2366,try buy fabric would use project feel really fab,1,8
2367,go friend feel inadequate,0,5
2368,im hurting feel like friend longer supporting im struggling,2,7
2369,know feel useless nasty feeling,0,7
2370,dont sleep still waking help get sleep quicker feel like going deeper relaxed sleep,1,14
2371,always feel quite smart wearing,1,3
2372,feel sure new necklace come afternoon beach combing,1,6
2373,feel feel reluctant,4,3
2374,im feeling naughty like add little bourbon,2,3
2375,feel relaxed comfortable,1,2
2376,still feel fine tell getting weaker,1,4
2377,feel confused cant stop digging bit,4,8
2378,im postponing feeling virtuous labor,1,2
2379,ate feeling hateful towards number,3,5
2380,sure anyone understand feel toward almost feel like one troubled teen often maury,0,15
2381,believe sincere part seen time logan probably feel much devoted,2,17
2382,afraid feeling helpless,0,3
2383,didnt think angry im typing away feeling word evaporate cyberspace pissed happening,3,11
2384,go presence praying wisdom patience feel instantly furious,3,6
2385,im feeling generous ahahahaha im morbidly funny,1,1
2386,wish feel tender bite,2,3
2387,feel jaded stpm sigh,0,2
2388,often find hostile environment leaf feel damaged blossom die vine,0,7
2389,murakami first feel capture make beloved fan,1,9
2390,feel homesick nostalgia canaglia,0,1
2391,want something personalized appreciate least feel real sincere giving,1,12
2392,enjoy aspect life hard time feel completely overwhelmed,5,10
2393,feel like child got one lick delicious lollypop ever,1,6
2394,hausa feel offended especially crazy motorcyclist getting ground like nothing happened bear resemblance anyone north,3,13
2395,feel like running circle terrified,4,4
2396,wasnt feeling irritated,3,3
2397,feel like thing call artistic tendency really laziness narcissism justifying strengthening,1,11
2398,guess im sad feel alone,0,4
2399,im huge fan london grammar disclosure eye perfect collaboration definitely help make feel creative,1,13
2400,feel person broke stole gift represents nice memory turning something nice,0,14
2401,feel like warner brother fucked final edit even better film arriving director cut format blu ray,3,12
2402,im feeling bit scared consider putting posting work website frequented professional artist decided suck big girl ask feedback,4,15
2403,understand mother feel bad cant help way want im still trying help,0,11
2404,wasnt supposed let happen could feel hurt move supposed,0,12
2405,suddenly feel desire press face window silently scream like doomed urbanite one myriad disaster movie always take place new york,0,10
2406,feel really disgusted pain agony,3,7
2407,hope one day feel strong optimist right life,1,9
2408,feeling vulnerable worrying publishing world like story like next one write,4,12
2409,also always afraid cold pool realized actually feel cold lap,3,12
2410,consider social political duty defend porn world unravels around company sex industry worker feel doomed inevitable fate porn personnel,0,11
2411,want give feel distracted need remind working towards,3,9
2412,ate great whats even better feel terrific,1,4
2413,feeling particularly disheartened unmotivated today,0,3
2414,started feel uncomfortable buzzy short breath mildly panicky,4,5
2415,feel unprotected though,4,3
2416,feel lot confident path ive chosen,1,5
2417,know feel mil hated since day,0,7
2418,feel blessed year daughter family u sister california coming year,2,13
2419,sat silent open mouthed rattled reason loved special time shared confirmed feeling amazed reason time together made realize much loved,5,19
2420,get little gripped timing feel frantic thought,4,5
2421,still feel innocent small,1,2
2422,took several deep breath feeling cold air burn way lung exhaling little cloud vapor,3,7
2423,feel like continue bridge lesson since continuity going vital learn game,1,10
2424,feel delighted share,1,3
2425,feel like gone bit dull agree beauty real friend tell stupid,0,14
2426,feel glamorous little lacy bottom tiny string underneath,1,7
2427,ive talked telling sometimes feel shes sincere,1,5
2428,returned home feeling invigorated wanting,1,3
2429,know upset feel melancholy eating away inside leaving tear eye ache heart,0,12
2430,simply dont want make mad want able share thing feel like emotionally far apart make mad make unable go,3,14
2431,planning make cooky evening feeling good tomorrow,1,10
2432,incredibly youthful employment angry stay feeling offended simply wasnt professional decided,3,11
2433,also feel welcomed lush job,1,9
2434,feel irritable unfulfilled dont paint several day,3,4
2435,still feeling passionate progressive motivated longer trying everything anything never done,2,10
2436,feel giving christ want devoted,2,10
2437,feel like babysitter year old act like naughty year old,2,4
2438,feel sort dazed cross eyed,5,3
2439,would left exam feeling humiliated reevaluating everything know,0,6
2440,im wanting look make people feel ok ask question,1,6
2441,feel honored part year,1,8
2442,picked moved czech republic chris sent care package food music remind home feeling homesick,0,17
2443,feel really popular underground get thank god looking toby tunji,1,16
2444,feel strange bonding bed wardrode using little decade,4,11
2445,feel ecstatic relived bottom heart truely grateful,1,9
2446,excercising running still feel tender even almost like throbbing,2,5
2447,feel confident today front nine,1,4
2448,internet cafe kid feel neglectful blog chaotic,0,12
2449,quit screw everyone frame shop wouldnt feel bad besides british,0,7
2450,feel like important keep taking critical look idea like make sure stay grounded reality,1,12
2451,never feel hesitant timid,4,2
2452,feel elegant marvelous irresistible frock endure discomfort,1,7
2453,didnt know anyone feel helpless confused angry tired,0,4
2454,lost kg feeling fab,1,3
2455,transferred operating bed began feel little apprehensive,4,5
2456,feel anything contribute conversation book writing boring shallow bunk,0,11
2457,hope deeply affend anyone maybe know feel year faithful catholic told going hell anyways privacy home,1,26
2458,feel badly know suffering complain cold nonsense gladly give anything could help fix problem,0,14
2459,remember feeling falling miyavi shocked face,5,6
2460,suddenly feeling energetic,1,3
2461,im fair xia way feel frightened work fault,4,14
2462,feel like ecstatic feel joy feel love particularly devotee come mood also eagerly moving moving moving said andri visitor abroad,1,9
2463,feel bad enough,0,2
2464,leaned head back took deep breath awful feeling awful making sick,0,9
2465,look like someone doesnt like care way thats different friend feel unimportant like one care,0,12
2466,often feel real gloomy always another large government program horizon freedom consistently contracted wallet pilfered benefit fat cat corporate banker public continues vote politician steal u every day,0,12
2467,feel like feel guilty treating badly dont really want go back wont get league proper anyway due inability make every practice service hour despite good skater good attitude toward practice make,0,16
2468,feel bit fearful might feeling stressed drinking much,4,8
2469,dont know feel mellow normal good,1,3
2470,hope make friend feel welcomed,1,4
2471,want accept inevitable become grumpy old men woman age want accept feeling irritated annoyed trivial little thing normal,3,13
2472,answered feeling rather skeptical,4,1
2473,wasnt feeling particularly bitter birthday fact fantastic day,3,6
2474,feel satisfied eat feel full longer dont feel like snacking later,1,5
2475,miss way made feel im point ive accepted betrayed never go back,1,13
2476,feel content without knowing rest story,1,4
2477,really feel irritated,3,4
2478,feel like im bitter old lady long life cant deal anymore,3,11
2479,feeling little disappointed little hair improved stickiness lingering,0,10
2480,im feeling bit lonely without comment respond c,0,2
2481,feel lame complaining minute get blurry vision take easy rest day,0,12
2482,feel rushed get ready tomorrow,3,4
2483,feel strongly supporting hence running mile,2,7
2484,remember feeling embarrassed someone recognized called name,0,8
2485,sat dave atell first trying feel rude guy eating,3,8
2486,feel solemn duty share divine knowledge mine order others may benefit truth beauty render world tad closer thearchitecturality utopian perfectly set garage society strive,1,18
2487,still really feel like kind hated picture soooo glad took,3,11
2488,used feel guilty large portion time income devoted various craft hobby eventually realised stress busting cheaper therapy,0,12
2489,admit past ive done lot time scoffing feeling superior christian,1,8
2490,love kim kardashion make tutorial always feel glamorous make,1,8
2491,feel glad justice served west said,1,4
2492,feel relieved finally move without single tear shed,1,5
2493,want say thing want say without feeling embarrassed making people upset,0,7
2494,feel like im back element pleased surrounded adorable tiny garment,1,8
2495,already feeling exhausted matter survival point onwards,0,8
2496,feel pain came school still aching,0,7
2497,feel like tranny lot time title blake lively feel like tranny href http www,1,4
2498,great feeling fear trepidation child abused know statistic,0,12
2499,im feeling invigorated ready whats ahead excited share information,1,10
2500,feel threatened idea caring care far often,4,10
2501,didnt feel anything special,1,5
2502,feeling little dissatisfied picture last couple month,3,8
2503,feel like perfect person trust dont want perfect,1,7
2504,feel humiliated want face world,0,6
2505,didnt expect feel disheartened departure really really,0,7
2506,adjust feel strange,5,8
2507,remember feeling excited particular day considered grown woop,1,8
2508,feel entirely free express way feel surroundings life myriad experience continue make,1,11
2509,could prepare bunch dish made safety control home least feel safe ive prepared,1,12
2510,capable late ive feeling pretty bitter depressed lot gratitude general,3,12
2511,feeling strong ready,1,3
2512,really feel like wading dangerous water think dialog really important,3,7
2513,feel truthful usual day,1,4
2514,mean every time negative thought feeling reaction going consciously replace positive one,1,8
2515,im feeling festive tonight,1,0
2516,also feel helped become intelligent individual,1,6
2517,watch silently feeling dazed memory loss,5,4
2518,feel regretful bad called,0,5
2519,feel blessed mom,1,6
2520,feel really teaching student get lovely finished piece,2,4
2521,get feeling shes amused,1,6
2522,feel listless deflated,0,2
2523,secretary called fran landed dublin whim much surprise found permanent job chance feel homesick head back holyhead,0,13
2524,sit author letter feel little surprised entire year already passed u,5,9
2525,always plant big section lettuce leave open pesky bunny feel rebellious raiding garden,3,16
2526,nagging feeling fucked everything first try,3,7
2527,feel watching romantic movie,2,2
2528,feel complacent experience program even sometimes find concept done big drag still room scrutiny,1,17
2529,feel still angry,3,5
2530,feel cold day,3,2
2531,look around people around feel almost slightly envious way motivating sitting studying hard,3,14
2532,help feel little hesitant towards lily,4,5
2533,ill feel le burdened confused sigh,0,1
2534,would smiled except starting feel like uptight comment jaw would fall right head,4,10
2535,stopped feeling clever felt memory done,1,8
2536,ive frustrated dont walk around floating air seeing good every sidewalk pothole trip beating feeling unsure scared,4,11
2537,feel one everything meet even return body beloved father indeed beginning realize meaning unearthly love sought long,2,17
2538,like feel working puzzle help improve fine motor skill teach follow set instruction order make something,1,13
2539,feeling manipulkated wronged son though lucy charlie brown,3,9
2540,feeling oh low,0,3
2541,love liz earle moisturizer really leave skin feeling lovely think purchase lighter version next time,2,6
2542,start feel benefit extremely boring,0,6
2543,recall feeling time coolum whilst laying bed day funny calling speaking everyday,5,18
2544,feel listless,0,2
2545,havent felt much like talking nothing bad feeling sociable way,1,7
2546,im feeling outgoing mood put game face smooch,1,8
2547,feel empty dont something care,0,5
2548,still feel like kid eager blow candle open gift good stuff,1,7
2549,love look black feel like would smart choice im kind drawn rich blue grayish blue,1,9
2550,feeling pretty crappy,0,3
2551,feel like important vote local stuff,1,7
2552,randomly talking found feeling cd listened quite eager watch show,1,13
2553,ive feeling little bit anxious late far relation lack thereof ward investigator go im excited able ponder temple see come plan lord help,4,19
2554,feel virtuous second reflect spend something went swimming pool working towards personal fitness yes,1,9
2555,cant tell word much feel honored photo made gallery,1,9
2556,im sure feeling slightly wronged police sheriff tsa always bad thing,3,7
2557,feeling carefree wanted go fun,1,7
2558,think feel gratitude think kind gracious heavenly father,1,5
2559,actually feel like im completely submissive one,0,2
2560,think im going go play larry feel awkward singing instead admitted,0,12
2561,apologize ppl dragged along see feel shamed img src rte emoticon smile embaressed,0,7
2562,feel job give tool need successful person,1,11
2563,truly feel disillusioned world year believing helping others getting immense joy,0,11
2564,im feeling gloomy,0,1
2565,im still feeling indecisive im polling yall p,4,0
2566,feel horribly insecure,4,4
2567,hard core problem tell people feel sympathetic consequently feel obligated try help,2,10
2568,feel divine strong,1,2
2569,hope feeling fine well wan na say happy birthday realize dream always happy perfect person deserves best,1,10
2570,feel inner conflict sense duty desire play entertained thought sex,1,9
2571,feel nervous walking outside,4,2
2572,felt continue feel absolutely horrible flew great distance spent money hotel naught,0,9
2573,feel resentful hurt much also grateful said including disco swimming even taking stair,3,13
2574,figure enough radio appearance increase chance get good someday anticipation feel though doomed eternal repetition futile,0,14
2575,reading rather unpleasant plane ride day didnt feel like reading unpleasant thing skipped uruk hai entirely full reading experience come back point,0,15
2576,feeling heartbroken time nothing stupid boy wasnt worth,0,10
2577,feel know well enough know tolerated,1,10
2578,feeling pretty homesick maine,0,3
2579,ill darned feel shamed caring blogging community,0,7
2580,feel ashamed wasted year life partying wasting time,0,4
2581,find unloving unkind body make u feel like punished something,0,10
2582,feel unfortunate community little week evaluate solution prior drastic way stop proposal coming vote public work,0,13
2583,feel inspired make christmas present im giving away,1,5
2584,woke feeling positive totally mood evening feel banana shake breakfast chocolate shake dinner sunday roast tea,1,12
2585,went feeling little hostile felt like didnt really care,3,9
2586,know feel tortured reading,3,3
2587,im feeling distracted likewise attracted thing let know thing cant let go youre waiting,3,7
2588,im trying better spending feel deprived,0,7
2589,feel impatient final post four week tangible result far exciting see far philip reaura go term firming smoothing,3,15
2590,feel even though blogger popular within one clique twice amount people jealous success chooses kiss butt fit triple disrespect pompous notoriety,1,15
2591,im starting feel bit jaded,0,2
2592,feel moronic lot thing said people name progress new ism espouse,0,11
2593,told feeling anxious turning thirty,4,4
2594,want feel much pain suffering last year,0,7
2595,longer summer vacation like school summer still feeling relaxation carefree,1,11
2596,feel ok lol,1,1
2597,came home one day discovered sister borrowed car gotten accident entire front bumper destroyed,3,10
2598,feel dirty cheap talking going far,0,5
2599,show partner feel afraid feel,4,12
2600,im particular id feel uncomfortable even asserting ive ever love,4,4
2601,dont know feel disheartened,0,2
2602,feel compassionate gentle understanding human result trial,2,11
2603,feel lot bid put work get beaten price price alone,0,8
2604,feel amused hear neighbour use word muze instead mujhe hey kay becomes zay kay,1,6
2605,wake already feeling listless leaving work early every day past week,0,7
2606,feel kind embarrassed writing ladybits must gotten frozen something swim felt like numb didnt thaw good mile,0,17
2607,find feeling distraught getting older stressed impending responsibility ensue generally content little bit repressed anger make appearance instigated,4,17
2608,feel absolutely amazed unfolding story life,5,5
2609,seen two year spending sun filled day aussie open followed dumpling chinatown lemonade leafy beer garden feeling like stepped back time labour vain brunswick street attending backyard barbecue visiting edinburgh garden aussie day,0,12
2610,met friend watch hockey game headed local pub called pig duke ate parmesan truffle wing sure feel prawn lollipop delicious terrible name,1,14
2611,im today looking bank account morning feeling shocked,5,6
2612,feel greedy worldly thing big deal,3,9
2613,worried would feel homesick,0,3
2614,feeling grouchy old man mentioned retail therapy great,3,7
2615,feel like heartless kingdom heart really stock character born without feeling watch enviously normal people laugh cry love feel thing,3,11
2616,feel disheartened trust people try want get know see think boring anything,0,9
2617,feeling spiteful,3,2
2618,feel weird completely nothing,5,4
2619,im sure jeremy feeling quite friendly later luka href http blog,1,6
2620,feel positive contribution innovation may still worth considering adjustment economic financial structure whole society improve labor productivity,1,9
2621,feel jaded point time,0,4
2622,feel inadequate shut feel cross world,0,5
2623,feel loss chakotay reassured silently approached enveloped hug,1,8
2624,feel strength determined motivated workout room,1,8
2625,feel enough sleep much vital energy ever taking,1,10
2626,feel quite devastated rush away sometimes,0,4
2627,fascinated ebb flow water stood feeling content watching wave,1,7
2628,feel lot would accepted emotional side wanted,1,12
2629,ive thinking drive fashion pretentious gon na make sound studying fashion design feel kinda vital understand im trying life whole,1,22
2630,still feeling numb cant feel chewing swallowing food,0,5
2631,grieve loss feel ashamed little way essential component life well lived get tell someone jesus love,0,10
2632,hate say felt tinge feeling last week watched beloved red sox fall tampa bay devil ray,1,11
2633,feel sweet pang desire adventure excitement,2,5
2634,got feel actor physically talented skilled presentational acting done little research background character wilder,1,16
2635,got really fucked last night got really really really fucked load downer bad idea bad idea feel like neurotic mess right cant handle cant handle cant handle,4,9
2636,could almost tempted carry photography together worked well feel aching back nervous system persuade remain retired wedding photographer,0,16
2637,feel le keen winston churchill quote really feel le keen winston churchill quote href http www,1,4
2638,feel divine presence merge mine,1,3
2639,feel embarrassed sometimes even international student pas cant,0,3
2640,group youngster dressed fad talked foul language bus also insulted pedestrian road impolite passenger bus,3,9
2641,feel lucky nice able buy lovely resource little one care,1,10
2642,feel christmas special ever,1,3
2643,would outright tell girl book feel like guy smart clever youve probably already formed sort idea theme idea book wrapped around,1,14
2644,wound driving getting butterfly like teenager kissed feeling rotten week expecting call,0,10
2645,feel completely numb emotionless lost,0,1
2646,feel fabulous,1,3
2647,feeling fill blank,0,5
2648,get strange feeling even people im friendly im sort intellectual target getting rather annoying,1,9
2649,feel faithful isnt enough eye,1,5
2650,still feel regretful wish could take back every moment hour ago,0,3
2651,know gay analogy feeling weepy,0,3
2652,im feeling pretty devastated,0,0
2653,feeling excited many blogger follow anxiously bearing ww first week pregnancy,1,11
2654,waited line longer usual didnt feel impatient business delayed listened master occurring could service moment,3,16
2655,feel weird much psychological safety coming noah providing money,5,7
2656,im feeling somewhat indecisive term alliance,4,7
2657,feel team target given valuable experience feedback use constructively help within study future,1,13
2658,feel part family universe rather fearful,4,6
2659,need rant right feel ignored life friend busy hang fun occasionally get chance plus always seem one organising thing least partially involved,0,22
2660,feel pleased resist till get next four night shift,1,7
2661,im totally walking sunshine feeling lighter le burdened excess weight people snicker get bus people would rather stand sit next im reminded much work still,0,15
2662,rushed everywhere family friend often left feeling drained exhausted,0,10
2663,feel like deprived oxygen,0,4
2664,might afraid leave house nurse public commit social engagement wear anything make look worse already feel honor fearless friday invite newbie mom reader something scare,1,15
2665,mother heart nearly stopped,4,2
2666,expect feel content,1,4
2667,began focus scripture good hour ago still feel like rejected woman control feeling abandonment begun subside,0,12
2668,wish every time come away feeling invigorated inspired,1,7
2669,want feel inspired job,1,4
2670,explain area feel vital successful experience pinpoint plan ass area,1,11
2671,feel numb asleep yet every single feeling sharp full pain,0,5
2672,dont eat lot bread find carbohydrate leave feeling groggy expand waistline faster say heck dont jean fit,0,12
2673,feel acceptable better would allowed meet need student targeted way,1,15
2674,hi tech color club holiday splendor sally hansen cha ching kiss silver glitter feeling little festive tonight decided,1,5
2675,feel nervous,4,2
2676,feel acceptable put forth little effort today post,1,7
2677,feeling irate,3,2
2678,always think violent band violently feeling violent lyric musically violent,3,6
2679,feel really contented listening song,1,4
2680,spent expected went u last summer feel burdened work lessen financial burden parent,0,12
2681,shared trusted friend feeling towards another respected friend,1,5
2682,feel like low life mooching everyone,0,3
2683,feel like house constantly messy feel like always cleaning,0,8
2684,feel emotional attachment work simply feel anyone else,0,8
2685,feel like ive never felt lonely depressed unhappy life still smile maintain good mood school,0,8
2686,taking alot xanax lately mixing med together feel mellow enough deal world,1,8
2687,im feeling frantic yet instead going make sleep teddy,4,6
2688,feel like blank slate lead ton possibility get really excited,0,8
2689,social dreaming thing make feel melancholy,0,6
2690,feel gloomy age,0,11
2691,also feel stubborn,3,1
2692,feel clever caption making im quite feeling well enough provide one,1,12
2693,went feeling supportive kind compassionate towards person wanting lash though blocked clearly experience,2,16
2694,thinking post wrote earlier mulling memory brought surface tossing around head began feel gentle tug little nudge deep began vibrate morph something solid,2,16
2695,might feel bit proud one left wrist turbillion watch made hong kong,1,10
2696,im sure oft feel ignored summer planting weeding harvesting occupied heart hand mind,0,7
2697,feel exhausted get workout,0,4
2698,feeling generous let assume former marlin equal production season,2,8
2699,feel cop unfortunate sad,0,4
2700,feeling dangerous wimbledon width,3,2
2701,pulled blanket bed really feeling rather gloomy,0,6
2702,feel vulnerable yet protective,4,5
2703,forgive accepted allowed feel superior see perceive someone worshiping progress instead realising defeating whole point process within,1,18
2704,ive feeling really defeated reason,0,3
2705,feel readership severely damaged point take long time build back,0,12
2706,feel extremely blessed lucky company belief enough let cut hour thankful reader reading say,2,18
2707,trying understand feeling ignored,0,8
2708,never ever thought blogging book mainly think blog something feel passionate thats book,1,9
2709,felt true forgiveness come feel longer victimized heal within,0,10
2710,always negative perception asked getting pregnant misscariage always walked away conversation feeling somewhat offended,3,10
2711,wanted follow set food rule feel amazing party hard suffer consequence,5,7
2712,feel lot pressure determined finish visit sister may clear conscience,1,13
2713,feel overwhelmed thinking,5,4
2714,feel assaulted hear radio ad,4,3
2715,ive worked plenty yet find one leaf feeling satisfied way ive spent another day never get back,1,11
2716,never actually felt sense suspense springer obviously trying build reference religious programming nothing book build suspense nothing could see made feel uptight worried anxious character,4,13
2717,feel like letdown feel like allow hurt,0,6
2718,im home feel cold seeped arm leg,3,8
2719,feel honoured humbled co legend one still look,1,5
2720,inquire incheswhyinches people relocating drove feel security precious metal,1,7
2721,always feel worthwhile soon step foot stadium wherever might world feel home,1,10
2722,im feeling awfully irritated worried good reason,3,4
2723,feel reluctant leave,4,2
2724,feel much energetic generally im sleeping better wife,1,6
2725,remember feeling deeply disappointed,0,1
2726,sometime back another girl term exboyfriend came shout twelve midnight thought still interested boy,3,13
2727,feel loop missed alot catching,0,10
2728,however tell hurt humiliated feel wonderful afterwards,1,8
2729,reading old message knight feeling sentimental texted back,0,9
2730,ive gone stage nervousness sheer terror feeling relaxed excited,1,7
2731,feel joyful feeble,1,3
2732,feel like garbage cant think thankful right hurt badly,1,6
2733,feel rude take someone photo rather feel awkward asking take photo,3,7
2734,expected rather sickly coconut give nice tropical feel disappointed two,0,12
2735,genuinely say bottom heart feel absolutely thankful,1,7
2736,feel like want make something house messy still finishing christmas gift knitting,0,9
2737,feel dumb talking feel like whiny emo teenager many problem far love temporary boyfriend,0,13
2738,feeling cranky today due getting enough sleep due unexpected long outing yesterday night,3,7
2739,see strong bright meet milestone week early feel assured gut always right,1,10
2740,really love feeling scared,4,4
2741,feel rewarded useful valuable anyway,1,2
2742,feel disgusted embarrased sad handled situation,3,5
2743,feel wimpy complaining taking credit semester know people took credit regularly man suck,4,7
2744,feel sorry people work capital intensive field posted href http zackmdavis,0,6
2745,feel pulse lip chase dragon suck lip heart tongue wish begging part finger translate sorrow reach inside soul angered breath mercy story unfold,3,14
2746,feeling calm luckily shocked mind thinking get standby matter outcome result,1,13
2747,pray eye read mind comprehend heart feel offended,3,8
2748,still feeling joyful rest peace nothing nothing nothing stop,1,7
2749,feel like child yet could see giving carefree way lestat,1,9
2750,get feeling kid hated senior year gon na,0,7
2751,hang leave feeling energized happy,1,3
2752,feel trace disgrace gracious man embracing bracelet,2,7
2753,drove pay snack looking wearily feeling dazed happened felt confidence unusual rare,5,17
2754,feel really joyful img src http,1,2
2755,feeling sort anxious sure,4,10
2756,healing still feeling shaky time managed get finish work week,4,8
2757,feeling energetic strong,1,3
2758,want share feeling want feel humiliated,0,6
2759,feel derp innocent go lrt train always packed last time rode like year ago,1,10
2760,im feeling slightly optimistic,1,0
2761,feel radiant morning,1,2
2762,feel know god real loving feel air tight reason notion kind sense would make blame misfortune befall u fact jesus warns tribulation world,2,18
2763,didnt know feel boring though im happy made new blog linked happywarmworld,0,4
2764,heartsick feeling overly romantic dont even feel like ive made connection like,2,6
2765,ended perfect studio walk feel aggravated yes bizarre,3,10
2766,suppose magazine presenting practical tip reader editor feel need spice article order make seem boring,0,14
2767,cry feeling shitty cry dad made fun sick haha kid happened many time good fun cry thats adverse situation,0,15
2768,feel like ive entered weird universe really grateful,4,6
2769,think nicely sum feeling talking much artistic pursuit,1,6
2770,need find way feel pretty,1,3
2771,see form havent yet feel agitated,3,6
2772,feel bad bagel day accidentally jalapeno bagel,0,7
2773,ive somewhat difficult time trying find something feel thankful,1,4
2774,started feeling nervous thinking id planned feed younger teen,4,4
2775,begin feel uncomfortable internally feeling nauseous light headed experienced shortness breath,4,4
2776,want feel loved cherished someone,2,5
2777,needed plan get rid feeling totally taking everything totally distracted work everything trying free time evening project taking life fact totally feel burnt,3,25
2778,feel resentful giver,3,4
2779,celebrate year feel supporting history behind traditional holiday based ugly stuff least lot case lot stuff believe support,2,20
2780,feeling defeated like couldnt continue reluctantly asked epidural,0,8
2781,ive predicted angle win im feeling slightly le grumpy wrote let say gallows win clean keep thing tight,3,7
2782,felt next step dont want doubtful feel dumb keeping hope much money come short time,0,14
2783,love community death sometimes feel time arent supportive,2,8
2784,left tonight feeling hopeful future orphan crisis country,1,8
2785,sing confident feel still get little nervous opening night,4,7
2786,feel really cute pirate girl somewhat cute landlubber man sort,1,7
2787,decided try zipline picnic grove since feeling bit adventurous day,1,9
2788,know wrong feel ugly,0,4
2789,learn express feeling way acceptable,1,7
2790,feel people know fish properly therefore popular,1,14
2791,found feeling jealous though,3,2
2792,feeling horse cooped determined got even little stretch weather going see every horse got chance get outside,1,13
2793,im excited get home spend time everyone please feel free email call text let know youre available dinner coffee anything,1,7
2794,feel clearer joyful alive,1,3
2795,feeling adventurous,1,2
2796,left integrity dignity intact feeling pissed,3,7
2797,known letting thing go im feeling good,1,5
2798,felt doubtful image popped mind dealing big knot shoelace feeling frustrated,3,12
2799,im feeling boring,0,0
2800,ill feel troubled trivial matter,0,4
2801,told never wanted rot hell time wished le stupid clumsy never ever feel unhappy,0,13
2802,use emoticon would awkward writing feeling amused writing right opposed xd,1,12
2803,feel like ive lost everything everyone,0,2
2804,feel really wronged commodore,3,1
2805,however feel loss officer nicholsons life tragic death young mother whose murder started whole scenario motion,0,11
2806,feel like death think feeling like death make compassionate psychologist,2,5
2807,feel like bit rushed,3,4
2808,feeling adventurous took stair,1,4
2809,feel guilty everything use feel worried bad officer,0,7
2810,wear shirt feel artistic artistic look artistic yes son,1,7
2811,im sure know feeling cant bothered feel poo,3,6
2812,dont mean id like chicken feeling insecure maybe doubting fact able run km tomorrow,4,13
2813,feel though art romantic comedy deteriorated late drawn movie like sabrina notting hill love actually,2,8
2814,id get class eight dance hour nine get home ten im lucky eat cant eat class dancing full make feel vile sit around digesting etc ish get bed try sleep getting unnaturally early,3,15
2815,feeling confident able get back door dinner time,1,8
2816,look forward feeling better write often,1,7
2817,feel play feeling maybe want broke heart,0,5
2818,closed eye tightly covered ear thank god woke apologize brutality nightmare left feeling shaken nauseous say least,4,11
2819,feel terribly helpless sometimes even limited spiritual awareness able find answer know end outcome decision able move readjust pick piece centre enjoy decision,4,20
2820,actually happy hear id feeling unnaturally exhausted lately hopefully help,0,8
2821,knew shaking many reason big one since cyst drama started get cold fast feel drained,0,8
2822,overly passionate love music make feel connect song artist amazed truly awe write song touch,5,16
2823,feeling lap divine mother holding soft tender arm,1,13
2824,let fall asleep earlier afternoon feeling extremely shitty,0,5
2825,feel relaxed playing carl clarke say,1,3
2826,never got full feeling except couple time ate sweet potato trust eating lot,2,10
2827,asked one gift go sister house everyone gather holiday feel impolite show empty handed,3,14
2828,miss feeling guilt much stuff reacted terrible way said kid sake saying,0,15
2829,feel blessed know immense family supporter continue comfort,2,10
2830,remember first day feeling lousy year ago believed body betraying,0,9
2831,feel stupid contagious entertain u mulatto albino mosquito libido yeah hey yay im worse best gift feel blessed little group always always end hello hello hello low,0,21
2832,asked girl eye feeling weird also,5,11
2833,could feel peace welcomed week packing saying good bye dealing overwhelming feeling displacement,1,9
2834,feel kind sorry flirtiness peeta heroine book make feel like really dont want die even katnisss feeling,0,11
2835,feel betrayed humiliated,0,3
2836,feeling bit gloomy guess,0,3
2837,carry usual guilt feeling selfish self centered spend time anything,3,8
2838,feeling bit gloomy weekend maybe grey day weve,0,10
2839,like feeling submissive least lover dominant,0,8
2840,hate feeling complacent,1,5
2841,feel utterly disgusted would look way thing continues,3,10
2842,feel hopeless alone eat soothe,0,4
2843,know first hand well feeling pain hurt embarrassment even shame self image body shape physical feature weight etc let body become,0,11
2844,woke morning wanting cry feeling hasnt shaken yet,4,7
2845,know posted anything month feel kind guilty big thanks exam test assignment far good,0,11
2846,wished could feel energetic deal le pain might best option,1,8
